,Name,Sex,Team,Sport,Medal,Medal_Count
0,A. Albert,M,Union des Socits Franais de Sports Athletiques,Rugby,Gold,1
1,Aage Jrgen Christian Andersen,M,Denmark,Football,Gold,1
2,Aage Valdemar Harald Frandsen,M,Denmark,Gymnastics,Gold,1
3,"Aagje ""Ada"" Kok (-van der Linden)",F,Netherlands,Swimming,Gold,1
4,"Aale Maria Tynni (-Pirinen, -Haavio)",F,Finland,Art Competitions,Gold,1
5,Aaron Nguimbat,M,Cameroon,Football,Gold,1
6,Aaron Nigel Armstrong,M,Trinidad and Tobago,Athletics,Gold,1
7,Aaron Wells Peirsol,M,United States,Swimming,Gold,5
8,Aavo Pikkuus,M,Soviet Union,Cycling,Gold,1
9,Abas Arslanagi,M,Yugoslavia,Handball,Gold,1
10,Abbey Weitzeil,F,United States,Swimming,Gold,1
11,Abdon Pamich,M,Italy,Athletics,Gold,1
12,Abdul Hamid,M,Pakistan,Hockey,Gold,1
13,Abdul Rashid,M,Pakistan,Hockey,Gold,1
14,Abdul Rashid Al-Hasan,M,Pakistan,Hockey,Gold,1
15,Abdul Waheed Khan,M,Pakistan,Hockey,Gold,1
16,Abdul-Rashid Bulayevich Sadulayev,M,Russia,Wrestling,Gold,1
17,Abdullah Movahed Ardabili,M,Iran,Wrestling,Gold,1
18,Abebe Bikila,M,Ethiopia,Athletics,Gold,2
19,Abel Richard Kiviat,M,United States,Athletics,Gold,1
20,Abelardo Fernndez Antua,M,Spain,Football,Gold,1
21,Abelardo Olivier,M,Italy,Fencing,Gold,2
22,Abhinav Bindra,M,India,Shooting,Gold,1
23,Abiodun Olugbemiga Obafemi,M,Nigeria,Football,Gold,1
24,"Abraham Robertus ""Bram"" Lomans",M,Netherlands,Hockey,Gold,2
25,Achille Piccini,M,Italy,Football,Gold,1
26,Adam David Vernon Foote,M,Canada,Ice Hockey,Gold,1
27,Adam Enright,M,Canada,Curling,Gold,1
28,Adam George Peaty,M,Great Britain,Swimming,Gold,1
29,Adam Joseph Van Koeverden,M,Canada,Canoeing,Gold,1
30,Adam Khamidovich Saytiyev,M,Russia,Wrestling,Gold,1
31,Adam Kreek,M,Canada,Rowing,Gold,1
32,Adam Marek Korol,M,Poland,Rowing,Gold,1
33,Adam McCright Nelson,M,United States,Athletics,Gold,1
34,Adam Robert Pine,M,Australia,Swimming,Gold,1
35,Adelaide T. Lambert (-Ballard),F,United States,Swimming,Gold,1
36,"Adelheid ""Heidi"" Schmid (-Grundmann)",F,Germany,Fencing,Gold,1
37,Adelina Dmitriyevna Sotnikova,F,Russia,Figure Skating,Gold,1
38,Adenzia Aparecida Ferreira da Silva,F,Brazil,Volleyball,Gold,1
