,Team,Year,Medal,Medal_Count
0,A North American Team,1900,Bronze,4
1,Afghanistan,2008,Bronze,1
2,Afghanistan,2012,Bronze,1
3,Algeria,1984,Bronze,2
4,Algeria,1992,Bronze,1
5,Algeria,1992,Gold,1
6,Algeria,1996,Bronze,1
7,Algeria,1996,Gold,2
8,Algeria,2000,Bronze,3
9,Algeria,2000,Gold,1
10,Algeria,2000,Silver,1
11,Algeria,2008,Bronze,1
12,Algeria,2008,Silver,1
13,Algeria,2012,Gold,1
14,Algeria,2016,Silver,2
15,Ali-Baba II,1948,Bronze,5
16,Amateur Athletic Association,1900,Gold,5
17,Amstel Amsterdam,1908,Bronze,4
18,Ancora,1920,Gold,4
19,Angelita,1932,Gold,12
20,Antwerpia V,1920,Bronze,5
21,Aphrodite,1964,Bronze,3
22,Argentina,1924,Bronze,2
23,Argentina,1924,Gold,5
24,Argentina,1924,Silver,3
25,Argentina,1928,Bronze,5
26,Argentina,1928,Gold,3
27,Argentina,1928,Silver,18
28,Argentina,1932,Gold,3
29,Argentina,1932,Silver,1
30,Argentina,1936,Bronze,4
31,Argentina,1936,Gold,5
32,Argentina,1936,Silver,2
33,Argentina,1948,Bronze,1
34,Argentina,1948,Gold,3
35,Argentina,1948,Silver,2
36,Argentina,1952,Bronze,2
37,Argentina,1952,Gold,2
38,Argentina,1952,Silver,2
39,Argentina,1956,Bronze,1
40,Argentina,1956,Silver,1
41,Argentina,1960,Bronze,1
42,Argentina,1964,Silver,1
43,Argentina,1968,Bronze,2
44,Argentina,1972,Silver,1
45,Argentina,1988,Bronze,12
46,Argentina,1988,Silver,1
47,Argentina,1992,Bronze,2
48,Argentina,1996,Bronze,1
49,Argentina,1996,Silver,19
50,Argentina,2000,Bronze,3
51,Argentina,2000,Silver,17
52,Argentina,2004,Bronze,21
53,Argentina,2004,Gold,28
54,Argentina,2008,Bronze,31
55,Argentina,2008,Gold,20
56,Argentina,2012,Bronze,3
57,Argentina,2012,Gold,1
58,Argentina,2012,Silver,15
59,Argentina,2016,Gold,21
60,Argentina,2016,Silver,1
61,Argonaut Rowing Club,1908,Bronze,6
62,Armenia,1996,Gold,1
63,Armenia,1996,Silver,1
64,Armenia,2000,Bronze,1
65,Armenia,2008,Bronze,6
66,Armenia,2012,Bronze,2
67,Armenia,2012,Silver,1
68,Armenia,2016,Gold,1
69,Armenia,2016,Silver,3
70,Aschenbrodel,1900,Gold,4
71,Aschenbrodel,1900,Silver,4
72,Atalanta Boat Club-1,1904,Gold,2
73,Atalanta Boat Club-2,1904,Silver,2
74,Atlanta,1920,Gold,9
75,Australasia,1908,Bronze,2
76,Australasia,1908,Gold,15
77,Australasia,1908,Silver,2
78,Australasia,1912,Bronze,3
79,Australasia,1912,Gold,5
80,Australasia,1912,Silver,2
81,Australia,1896,Gold,2
82,Australia,1900,Bronze,3
83,Australia,1900,Gold,2
84,Australia,1904,Bronze,1
85,Australia,1904,Silver,3
86,Australia,1906,Bronze,3
87,Australia,1920,Bronze,1
88,Australia,1920,Silver,6
89,Australia,1924,Bronze,2
90,Australia,1924,Gold,4
91,Australia,1924,Silver,5
92,Australia,1928,Bronze,1
93,Australia,1928,Gold,1
94,Australia,1928,Silver,2
95,Australia,1932,Bronze,1
96,Australia,1932,Gold,3
97,Australia,1932,Silver,1
98,Australia,1936,Bronze,1
99,Australia,1948,Bronze,5
100,Australia,1948,Gold,2
101,Australia,1948,Silver,9
102,Australia,1952,Bronze,11
103,Australia,1952,Gold,7
104,Australia,1952,Silver,2
105,Australia,1956,Bronze,23
106,Australia,1956,Gold,28
107,Australia,1956,Silver,11
108,Australia,1960,Bronze,11
109,Australia,1960,Gold,11
110,Australia,1960,Silver,24
111,Australia,1964,Bronze,30
112,Australia,1964,Gold,5
113,Australia,1964,Silver,6
114,Australia,1968,Bronze,11
115,Australia,1968,Gold,5
116,Australia,1968,Silver,35
117,Australia,1972,Bronze,2
118,Australia,1972,Gold,11
119,Australia,1972,Silver,7
120,Australia,1976,Bronze,8
121,Australia,1976,Silver,15
122,Australia,1980,Bronze,5
123,Australia,1980,Gold,6
124,Australia,1980,Silver,2
125,Australia,1984,Bronze,31
126,Australia,1984,Gold,7
127,Australia,1984,Silver,14
128,Australia,1988,Bronze,11
129,Australia,1988,Gold,18
130,Australia,1988,Silver,6
131,Australia,1992,Bronze,16
132,Australia,1992,Gold,14
133,Australia,1992,Silver,27
134,Australia,1994,Bronze,4
135,Australia,1996,Bronze,82
136,Australia,1996,Gold,32
137,Australia,1996,Silver,16
138,Australia,1998,Bronze,1
