,Team,Medal,Medal_Count
0,A North American Team,Bronze,4
1,Afghanistan,Bronze,2
2,Algeria,Bronze,8
3,Algeria,Gold,5
4,Algeria,Silver,4
5,Ali-Baba II,Bronze,5
6,Amateur Athletic Association,Gold,5
7,Amstel Amsterdam,Bronze,4
8,Ancora,Gold,4
9,Angelita,Gold,12
10,Antwerpia V,Bronze,5
11,Aphrodite,Bronze,3
12,Argentina,Bronze,91
13,Argentina,Gold,91
14,Argentina,Silver,84
15,Argonaut Rowing Club,Bronze,6
16,Armenia,Bronze,9
17,Armenia,Gold,2
18,Armenia,Silver,5
19,Aschenbrodel,Gold,4
20,Aschenbrodel,Silver,4
21,Atalanta Boat Club-1,Gold,2
22,Atalanta Boat Club-2,Silver,2
23,Atlanta,Gold,9
24,Australasia,Bronze,5
25,Australasia,Gold,20
26,Australasia,Silver,4
27,Australia,Bronze,511
28,Australia,Gold,342
29,Australia,Silver,453
30,Australia-1,Bronze,2
31,Australia-1,Gold,2
32,Australia/Great Britain,Bronze,2
33,Austria,Bronze,150
34,Austria,Gold,95
35,Austria,Silver,168
36,Austria-1,Bronze,4
37,Austria-1,Gold,12
38,Austria-1,Silver,16
39,Austria-2,Bronze,2
40,Austria-2,Silver,2
41,Azerbaijan,Bronze,25
42,Azerbaijan,Gold,7
43,Azerbaijan,Silver,12
44,"BLO Polo Club, Rugby",Silver,4
45,Baby-1,Bronze,1
46,Baby-1,Gold,1
47,"Bagatelle Polo Club, Paris",Bronze,4
48,Bahamas,Bronze,13
49,Bahamas,Gold,12
50,Bahamas,Silver,11
51,Bahrain,Bronze,1
52,Bahrain,Gold,1
53,Bahrain,Silver,1
54,Ballerina IV,Bronze,3
55,Barbados,Bronze,1
56,Barion/Bari-2,Silver,3
57,Barrenjoey,Gold,3
58,Beatrijs III-1,Gold,3
59,Belarus,Bronze,71
60,Belarus,Gold,24
61,Belarus,Silver,44
62,Belgium,Bronze,154
63,Belgium,Gold,94
64,Belgium,Silver,161
65,Belgium-1,Bronze,5
66,Belgium-1,Gold,1
67,Bem II,Bronze,2
68,Bera,Gold,5
69,Berliner Ruderclub,Bronze,2
70,Berliner Ruderverein von 1876-2,Bronze,9
71,Bermuda,Bronze,1
72,Bingo,Bronze,3
73,Bissbi,Gold,4
74,Bluebottle,Bronze,3
75,Bohemia,Bronze,10
76,Bohemia,Silver,1
77,Bohemia/Great Britain,Bronze,2
78,Bona Fide,Gold,3
79,Bonaparte,Gold,1
80,Bonzo,Silver,3
81,Boreas-2,Silver,2
82,Boston Archers,Bronze,4
83,Botswana,Silver,1
84,Brazil,Bronze,185
