,Name,Sex,Team,Sport,Medal,Medal_Count
0,A. Dubois,M,Gitana-2,Sailing,Bronze,1
1,Aage Marius Hansen,M,Denmark,Gymnastics,Bronze,1
2,Aarne Anders Pohjonen,M,Finland,Gymnastics,Bronze,1
3,Aaron Brown,M,Canada,Athletics,Bronze,1
4,Aaron Egbele,M,Nigeria,Athletics,Bronze,1
5,Aaron Gate,M,New Zealand,Cycling,Bronze,1
6,Aaron John McIntosh,M,New Zealand,Sailing,Bronze,1
7,Aaron Russell,M,United States,Volleyball,Bronze,1
8,Aas Mmmdov,M,Azerbaijan,Boxing,Bronze,1
9,Abbos Atayev,M,Uzbekistan,Boxing,Bronze,1
10,Abby Bishop,F,Australia,Basketball,Bronze,1
11,Abdel Aal Ahmed Rashid,M,Egypt,Wrestling,Bronze,1
12,Abdel Hak Achik,M,Morocco,Boxing,Bronze,1
13,Abdel Moneim El-Gindy,M,United Arab Republic,Boxing,Bronze,1
14,Abderrahmane Hammad Zaheer,M,Algeria,Athletics,Bronze,1
15,Abdon Pamich,M,Italy,Athletics,Bronze,1
16,"Abdoulaye ""Abdou"" Sye Papa",M,France,Athletics,Bronze,1
17,Abdul Rashid,M,Pakistan,Hockey,Bronze,1
18,Abdul Wahid Aziz,M,Iraq,Weightlifting,Bronze,1
19,Abdullah Al-Rashidi,M,Individual Olympic Athletes,Shooting,Bronze,1
20,Abdullah Waleed Al-Sharbatly,M,Saudi Arabia,Equestrianism,Bronze,1
21,Abdullahi Shehu,M,Nigeria,Football,Bronze,1
22,Abel Kiprop Mutai,M,Kenya,Athletics,Bronze,1
23,Abel Ricardo Laudonio,M,Argentina,Boxing,Bronze,1
24,"Abraham ""Bram"" Charit",M,Netherlands,Weightlifting,Bronze,1
25,Abramo Albini,M,Italy,Rowing,Bronze,1
26,Abutaleb Talebi Gorgori,M,Iran,Wrestling,Bronze,1
27,Ace Rusevski,M,Yugoslavia,Boxing,Bronze,1
28,Achille Charles Marcel Tribouillet,M,France,Water Polo,Bronze,1
29,Achille Eugne Pollet,M,France,Gymnastics,Bronze,1
30,Ada Smith (-Miga),F,Great Britain,Gymnastics,Bronze,1
31,Adalberts Bubenko,M,Latvia,Athletics,Bronze,1
32,Adam Artur Krzesiski,M,Poland,Fencing,Bronze,1
33,Adam Dariusz Seroczyski,M,Poland,Canoeing,Bronze,1
34,Adam David Commens,M,Australia,Hockey,Bronze,1
35,Adam Henryk Maysz,M,Poland,Ski Jumping,Bronze,1
36,Adam Joseph Van Koeverden,M,Canada,Canoeing,Bronze,1
37,Adam Joseph Vella,M,Australia,Shooting,Bronze,1
38,Adam Micha Lisewski,M,Poland,Fencing,Bronze,1
39,Adam Ryszard Robak,M,Poland,Fencing,Bronze,1
40,Adam Sandurski,M,Poland,Wrestling,Bronze,1
41,Adam Stanisaw Pape,M,Poland,Fencing,Bronze,2
42,Adam Tomasiak,M,Poland,Rowing,Bronze,1
43,Adam Wheeler,M,United States,Wrestling,Bronze,1
44,Adam ukasz Krlikiewicz,M,Poland,Equestrianism,Bronze,1
45,Addis Abebe,M,Ethiopia,Athletics,Bronze,1
46,Ade Franci Alleyne-Forte,M,Trinidad and Tobago,Athletics,Bronze,1
47,"Adelheid ""Heidi"" Robbiani (Hauri-)",F,Switzerland,Equestrianism,Bronze,1
48,"Adelheid ""Heidi"" Schmid (-Grundmann)",F,Germany,Fencing,Bronze,1
49,Adelina Maria Cojocariu-Bogus,F,Romania,Rowing,Bronze,1
50,Adelmo Bulgarelli,M,Italy,Wrestling,Bronze,1
51,Adem Bereket,M,Turkey,Wrestling,Bronze,1
52,Adesio Rafael Lombardo Rossi,M,Uruguay,Basketball,Bronze,1
53,Adil Atan,M,Turkey,Wrestling,Bronze,1
54,Adla Skorov-Bruns,F,Czech Republic,Shooting,Bronze,1
55,Admir Smaji,M,Yugoslavia,Football,Bronze,1
56,Adolf Gustinius Nilsen,M,Norway,Rowing,Bronze,1
57,Adolf Mller,M,Favorite Hammonia-3,Rowing,Bronze,1
58,Adolf Mller,M,Switzerland,Wrestling,Bronze,1
59,Adolf Seger,M,West Germany,Wrestling,Bronze,2
60,Adolf Spinnler,M,Switzerland,Gymnastics,Bronze,1
61,Adolf Wagner,M,Germany,Weightlifting,Bronze,1
62,Adolfo Baloncieri,M,Italy,Football,Bronze,1
63,Adolphe Bernard,M,Socit Nautique de Bayonne-1,Rowing,Bronze,1
64,Adolphe Bernard,M,Socit Nautique de Bayonne-2,Rowing,Bronze,1
65,Adolphe Joseph Henri Goemaere,M,Belgium,Hockey,Bronze,1
66,Adrian Calero Monger,M,Australia,Rowing,Bronze,1
67,Adrian Cosma,M,Romania,Handball,Bronze,2
68,Adrian Jardine,M,Great Britain,Sailing,Bronze,1
69,Adrian Simion,M,Romania,Handball,Bronze,1
70,"Adriana ""Adrianinha"" Moiss Pinto",F,Brazil,Basketball,Bronze,1
71,Adriana Aparecida dos Santos,F,Brazil,Basketball,Bronze,1
72,Adriana Carmona Gutirrez,F,Venezuela,Taekwondo,Bronze,1
73,Adriana Chelariu-Bazon,F,Romania,Rowing,Bronze,1
74,Adriana Ramos Samuel,F,Brazil-2,Beach Volleyball,Bronze,1
