name,Sex,Team,Sport,Medal,Medal_Count
"Michael Fred Phelps, II",M,United States,Swimming,Gold,23
"Raymond Clarence ""Ray"" Ewry",M,United States,Athletics,Gold,10
"Frederick Carlton ""Carl"" Lewis",M,United States,Athletics,Gold,9
Larysa Semenivna Latynina (Diriy-),F,Soviet Union,Gymnastics,Gold,9
Mark Andrew Spitz,M,United States,Swimming,Gold,9
Paavo Johannes Nurmi,M,Finland,Athletics,Gold,9
"Jennifer Elisabeth ""Jenny"" Thompson (-Cumpelik)",F,United States,Swimming,Gold,8
"Matthew Nicholas ""Matt"" Biondi",M,United States,Swimming,Gold,8
Ole Einar Bjrndalen,M,Norway,Biathlon,Gold,8
Sawao Kato,M,Japan,Gymnastics,Gold,8
Usain St. Leo Bolt,M,Jamaica,Athletics,Gold,8
Aladr Gerevich (-Gerei),M,Hungary,Fencing,Gold,7
Borys Anfiyanovych Shakhlin,M,Soviet Union,Gymnastics,Gold,7
"Donald Arthur ""Don"" Schollander",M,United States,Swimming,Gold,7
Nikolay Yefimovich Andrianov,M,Soviet Union,Gymnastics,Gold,7
Viktor Ivanovych Chukarin,M,Soviet Union,Gymnastics,Gold,7
Vra slavsk (-Odloilov),F,Czechoslovakia,Gymnastics,Gold,7
Akinori Nakayama,M,Japan,Gymnastics,Gold,6
Allyson Michelle Felix,F,United States,Athletics,Gold,6
Amy Deloris Van Dyken (-Rouen),F,United States,Swimming,Gold,6
"Christopher Andrew ""Chris"" Hoy",M,Great Britain,Cycling,Gold,6
Edoardo Mangiarotti,M,Italy,Fencing,Gold,6
Gerard Theodor Hubert Van Innis,M,Belgium,Archery,Gold,6
Gert Fridolf Fredriksson,M,Sweden,Canoeing,Gold,6
Jason Francis Kenny,M,Great Britain,Cycling,Gold,6
Kristin Otto,F,East Germany,Swimming,Gold,6
Lidiya Pavlovna Skoblikova (-Polozkova),F,Soviet Union,Speed Skating,Gold,6
Maria Valentina Vezzali,F,Italy,Fencing,Gold,6
Marit Bjrgen,F,Norway,Cross Country Skiing,Gold,6
Nedo Nadi,M,Italy,Fencing,Gold,6
