,Name,Sex,Team,Sport,Medal,Medal_Count
0,A. Dubois,M,Gitana-2,Sailing,Silver,1
1,"A. Joshua ""Josh"" West",M,Great Britain,Rowing,Silver,1
2,A. Lawry,M,Cornwall,Rugby,Silver,1
3,A. M. Woods,M,St. Louis Amateur Athletic Association,Lacrosse,Silver,1
4,A. R. Upton,M,Brussels Swimming and Water Polo Club,Water Polo,Silver,1
5,A. Willcocks,M,Cornwall,Rugby,Silver,1
6,Aage Birch,M,Denmark,Sailing,Silver,1
7,Aage Ernst Larsen,M,Denmark,Rowing,Silver,1
8,Aage Hy Pedersen,M,Hi-Hi,Sailing,Silver,1
9,Aage Ingvar Eriksen,M,Norway,Wrestling,Silver,1
10,Aage Jrgensen,M,Denmark,Gymnastics,Silver,1
11,Aage Walther,M,Denmark,Gymnastics,Silver,1
12,"Aagje ""Ada"" Kok (-van der Linden)",F,Netherlands,Swimming,Silver,2
13,Aarne Eemeli Reini,M,Finland,Wrestling,Silver,1
14,Aarne Eliel Tellervo Pelkonen,M,Finland,Gymnastics,Silver,1
15,Aaron Michael Miller,M,United States,Ice Hockey,Silver,1
16,Aaron Ross Flood,M,United States,Wrestling,Silver,1
17,Aaron Wells Peirsol,M,United States,Swimming,Silver,2
18,"Aartje Elisabeth ""Adrie"" Lasterie",F,Netherlands,Swimming,Silver,1
19,Abbas Jadidi,M,Iran,Wrestling,Silver,1
20,Abbey Weitzeil,F,United States,Swimming,Silver,1
21,"Abdelghani ""Ghani"" Yalouz",M,France,Wrestling,Silver,1
22,Abdoul Razak Issoufou Alfaga,M,Niger,Taekwondo,Silver,1
23,Abdul Hamid,M,Pakistan,Hockey,Silver,2
24,Abdul Rashid,M,Pakistan,Hockey,Silver,1
25,Abdullo Tovashevich Tangriyev,M,Uzbekistan,Judo,Silver,1
26,Abel Kirui,M,Kenya,Athletics,Silver,1
27,Abel Richard Kiviat,M,United States,Athletics,Silver,1
28,Abelardo Olivier,M,Italy,Fencing,Silver,1
29,"Abigail Louise ""Abby"" Johnston",F,United States,Diving,Silver,1
30,Abraham Kurland,M,Denmark,Wrestling,Silver,1
31,Abraham Olano Manzano,M,Spain,Cycling,Silver,1
32,Acer Gary Nethercott,M,Great Britain,Rowing,Silver,1
33,Achim Hill,M,Germany,Rowing,Silver,2
